codec_combo,file_name,codec1_codec,codec1_aac_bitrate,codec2_codec,codec2_gsm_bitrate,codec2_highpass_filter,codec1_bitrate,codec2_bitrate,codec1_opus_bitrate,codec1_gsm_bitrate,codec1_highpass_filter,codec2_opus_bitrate,codec2_aac_bitrate,codec1_mp3_bitrate,codec2_mp3_bitrate
GSM-ALAW,ex01_default_essentials_00026.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,
MULAW-GSM,ex01_default_00356.wav,MULAW,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,,,,,
AAC-GSM,ex01_default_00040.wav,AAC,40k,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
MP3-MULAW,ex01_default_00133.wav,MP3,,MULAW,,,,64k,,,,,,24k,
MP3-OPUS,ex01_default_00325.wav,MP3,,OPUS,,,,,,,,16k,,96k,
OPUS-GSM,ex01_default_00247.wav,OPUS,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,8k,,,,,,
AAC-OPUS,ex01_default_emphasis_00028.wav,AAC,48k,OPUS,,,,,,,,16k,,,
MULAW-AAC,ex01_default_00083.wav,MULAW,,AAC,,,64k,,,,,,48k,,
GSM-ALAW,ex01_default_emphasis_00198.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,
AAC-ALAW,ex01_default_00137.wav,AAC,56k,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,,,,,,
GSM-ALAW,ex01_default_emphasis_00137.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,
MULAW-AAC,ex01_default_emphasis_00090.wav,MULAW,,AAC,,,64k,,,,,,40k,,
AAC-MP3,ex01_default_00282.wav,AAC,48k,MP3,,,,,,,,,,,48k
MP3-MULAW,ex01_default_emphasis_00030.wav,MP3,,MULAW,,,,64k,,,,,,32k,
GSM-MP3,ex01_default_00094.wav,GSM,,MP3,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,40k
AAC-GSM,ex01_default_00108.wav,AAC,40k,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
MP3-ALAW,ex01_default_00232.wav,MP3,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,,,,,64k,
AAC-MP3,ex01_default_emphasis_00011.wav,AAC,96k,MP3,,,,,,,,,,,8k
GSM-OPUS,ex01_default_00347.wav,GSM,,OPUS,,,,,,13.2k,"{'cutoff_freq': 20, 'order': 2}",96k,,,
AAC-MULAW,ex01_default_00122.wav,AAC,40k,MULAW,,,,64k,,,,,,,
GSM-MULAW,ex01_default_00123.wav,GSM,,MULAW,,,,64k,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,
GSM-OPUS,ex01_default_00326.wav,GSM,,OPUS,,,,,,13.2k,"{'cutoff_freq': 20, 'order': 2}",8k,,,
MULAW-ALAW,ex01_default_emphasis_00076.wav,MULAW,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",64k,64k,,,,,,,
MULAW-ALAW,ex01_default_emphasis_00077.wav,MULAW,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",64k,64k,,,,,,,
MULAW-OPUS,ex01_default_00153.wav,MULAW,,OPUS,,,64k,,,,,5k,,,
MULAW-OPUS,ex01_default_00015.wav,MULAW,,OPUS,,,64k,,,,,24k,,,
OPUS-AAC,ex01_default_emphasis_00119.wav,OPUS,,AAC,,,,,24k,,,,64k,,
OPUS-MP3,ex01_default_00034.wav,OPUS,,MP3,,,,,64k,,,,,,24k
AAC-OPUS,ex01_default_00196.wav,AAC,80k,OPUS,,,,,,,,5k,,,
OPUS-MULAW,ex01_default_emphasis_00091.wav,OPUS,,MULAW,,,,64k,16k,,,,,,
GSM-MP3,ex01_default_emphasis_00004.wav,GSM,,MP3,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,80k
GSM-ALAW,ex01_default_00266.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,
ALAW-MP3,ex01_default_00026.wav,ALAW,,MP3,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,24k
GSM-MULAW,ex01_default_00143.wav,GSM,,MULAW,,,,64k,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,
MULAW-AAC,ex01_default_emphasis_00167.wav,MULAW,,AAC,,,64k,,,,,,48k,,
MP3-GSM,ex01_default_00174.wav,MP3,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,32k,
AAC-MULAW,ex01_default_emphasis_00138.wav,AAC,48k,MULAW,,,,64k,,,,,,,
MP3-OPUS,ex01_default_00037.wav,MP3,,OPUS,,,,,,,,16k,,24k,
MULAW-AAC,ex01_default_00051.wav,MULAW,,AAC,,,64k,,,,,,32k,,
GSM-AAC,ex01_default_emphasis_00042.wav,GSM,,AAC,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",,40k,,
ALAW-AAC,ex01_default_00134.wav,ALAW,,AAC,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,48k,,
GSM-MP3,ex01_default_00320.wav,GSM,,MP3,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,64k
AAC-MP3,ex01_default_00222.wav,AAC,80k,MP3,,,,,,,,,,,16k
OPUS-MP3,ex01_default_emphasis_00038.wav,OPUS,,MP3,,,,,96k,,,,,,64k
AAC-ALAW,ex01_default_emphasis_00110.wav,AAC,32k,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,,,,,,
AAC-MULAW,ex01_default_00312.wav,AAC,80k,MULAW,,,,64k,,,,,,,
GSM-ALAW,ex01_default_emphasis_00021.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,
OPUS-MULAW,ex01_default_00199.wav,OPUS,,MULAW,,,,64k,32k,,,,,,
MULAW-GSM,ex01_default_emphasis_00017.wav,MULAW,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,,,,,
ALAW-MULAW,ex01_default_essentials_00037.wav,ALAW,,MULAW,,,64k,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
MULAW-MP3,ex01_default_emphasis_00145.wav,MULAW,,MP3,,,64k,,,,,,,,80k
OPUS-AAC,ex01_default_00362.wav,OPUS,,AAC,,,,,8k,,,,48k,,
AAC-ALAW,ex01_default_00113.wav,AAC,64k,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,,,,,,
OPUS-ALAW,ex01_default_emphasis_00066.wav,OPUS,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,96k,,,,,,
GSM-ALAW,ex01_default_emphasis_00172.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,
OPUS-ALAW,ex01_default_emphasis_00123.wav,OPUS,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,32k,,,,,,
MP3-ALAW,ex01_default_00284.wav,MP3,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,,,,,96k,
MP3-MULAW,ex01_default_00117.wav,MP3,,MULAW,,,,64k,,,,,,8k,
AAC-MP3,ex01_default_00069.wav,AAC,80k,MP3,,,,,,,,,,,8k
MP3-MULAW,ex01_default_emphasis_00046.wav,MP3,,MULAW,,,,64k,,,,,,64k,
ALAW-AAC,ex01_default_essentials_00038.wav,ALAW,,AAC,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,48k,,
AAC-OPUS,ex01_default_emphasis_00114.wav,AAC,56k,OPUS,,,,,,,,16k,,,
ALAW-MP3,ex01_default_emphasis_00117.wav,ALAW,,MP3,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,16k
OPUS-MULAW,ex01_default_00239.wav,OPUS,,MULAW,,,,64k,5k,,,,,,
OPUS-GSM,ex01_default_00076.wav,OPUS,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,64k,,,,,,
AAC-MP3,ex01_default_emphasis_00133.wav,AAC,56k,MP3,,,,,,,,,,,40k
ALAW-MULAW,ex01_default_00127.wav,ALAW,,MULAW,,,64k,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
OPUS-MP3,ex01_default_00314.wav,OPUS,,MP3,,,,,8k,,,,,,48k
AAC-OPUS,ex01_default_emphasis_00060.wav,AAC,32k,OPUS,,,,,,,,16k,,,
ALAW-MP3,ex01_default_00007.wav,ALAW,,MP3,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,8k
MULAW-GSM,ex01_default_emphasis_00088.wav,MULAW,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,,,,,
OPUS-ALAW,ex01_default_00052.wav,OPUS,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,5k,,,,,,
AAC-GSM,ex01_default_emphasis_00127.wav,AAC,64k,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
AAC-OPUS,ex01_default_emphasis_00121.wav,AAC,32k,OPUS,,,,,,,,96k,,,
GSM-ALAW,ex01_default_00043.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,
AAC-OPUS,ex01_default_emphasis_00101.wav,AAC,64k,OPUS,,,,,,,,64k,,,
ALAW-MULAW,ex01_default_emphasis_00148.wav,ALAW,,MULAW,,,64k,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
GSM-MULAW,ex01_default_00142.wav,GSM,,MULAW,,,,64k,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,
MULAW-MP3,ex01_default_00072.wav,MULAW,,MP3,,,64k,,,,,,,,32k
GSM-ALAW,ex01_default_00341.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,
ALAW-GSM,ex01_default_emphasis_00063.wav,ALAW,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,
GSM-OPUS,ex01_default_emphasis_00171.wav,GSM,,OPUS,,,,,,13.2k,"{'cutoff_freq': 20, 'order': 2}",64k,,,
MULAW-MP3,ex01_default_00358.wav,MULAW,,MP3,,,64k,,,,,,,,24k
AAC-OPUS,ex01_default_00363.wav,AAC,40k,OPUS,,,,,,,,32k,,,
GSM-ALAW,ex01_default_emphasis_00080.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,
MULAW-MP3,ex01_default_emphasis_00022.wav,MULAW,,MP3,,,64k,,,,,,,,24k
MULAW-AAC,ex01_default_emphasis_00181.wav,MULAW,,AAC,,,64k,,,,,,96k,,
MP3-OPUS,ex01_default_00136.wav,MP3,,OPUS,,,,,,,,16k,,48k,
MP3-MULAW,ex01_default_00030.wav,MP3,,MULAW,,,,64k,,,,,,96k,
ALAW-GSM,ex01_default_emphasis_00103.wav,ALAW,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,
ALAW-MULAW,ex01_default_00004.wav,ALAW,,MULAW,,,64k,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
MULAW-GSM,ex01_default_00265.wav,MULAW,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,,,,,
MP3-AAC,ex01_default_00107.wav,MP3,,AAC,,,,,,,,,80k,24k,
ALAW-AAC,ex01_default_emphasis_00010.wav,ALAW,,AAC,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,80k,,
ALAW-GSM,ex01_default_00359.wav,ALAW,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,
MP3-AAC,ex01_default_00350.wav,MP3,,AAC,,,,,,,,,40k,48k,
ALAW-MULAW,ex01_default_00021.wav,ALAW,,MULAW,,,64k,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
GSM-MULAW,ex01_default_emphasis_00069.wav,GSM,,MULAW,,,,64k,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,
GSM-ALAW,ex01_default_emphasis_00163.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,
AAC-GSM,ex01_default_00330.wav,AAC,80k,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
OPUS-MULAW,ex01_default_00294.wav,OPUS,,MULAW,,,,64k,32k,,,,,,
MP3-GSM,ex01_default_emphasis_00006.wav,MP3,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,48k,
GSM-OPUS,ex01_default_00223.wav,GSM,,OPUS,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",96k,,,
ALAW-MP3,ex01_default_00311.wav,ALAW,,MP3,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,8k
AAC-MP3,ex01_default_emphasis_00200.wav,AAC,48k,MP3,,,,,,,,,,,80k
AAC-GSM,ex01_default_emphasis_00085.wav,AAC,48k,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
ALAW-OPUS,ex01_default_00179.wav,ALAW,,OPUS,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",96k,,,
ALAW-OPUS,ex01_default_essentials_00032.wav,ALAW,,OPUS,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",5k,,,
OPUS-ALAW,ex01_default_00158.wav,OPUS,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,24k,,,,,,
ALAW-GSM,ex01_default_00277.wav,ALAW,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,
AAC-ALAW,ex01_default_00212.wav,AAC,32k,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,,,,,,
OPUS-MP3,ex01_default_00016.wav,OPUS,,MP3,,,,,32k,,,,,,8k
OPUS-ALAW,ex01_default_00074.wav,OPUS,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,64k,,,,,,
OPUS-ALAW,ex01_default_00374.wav,OPUS,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,8k,,,,,,
MULAW-OPUS,ex01_default_00201.wav,MULAW,,OPUS,,,64k,,,,,96k,,,
OPUS-GSM,ex01_default_00275.wav,OPUS,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,16k,,,,,,
AAC-OPUS,ex01_default_00131.wav,AAC,32k,OPUS,,,,,,,,5k,,,
GSM-OPUS,ex01_default_00110.wav,GSM,,OPUS,,,,,,13.2k,"{'cutoff_freq': 20, 'order': 2}",24k,,,
AAC-GSM,ex01_default_00205.wav,AAC,96k,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
MULAW-MP3,ex01_default_emphasis_00064.wav,MULAW,,MP3,,,64k,,,,,,,,16k
ALAW-MULAW,ex01_default_00191.wav,ALAW,,MULAW,,,64k,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
MP3-MULAW,ex01_default_00283.wav,MP3,,MULAW,,,,64k,,,,,,40k,
GSM-MULAW,ex01_default_00145.wav,GSM,,MULAW,,,,64k,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,
ALAW-MULAW,ex02_default_00024.wav,ALAW,,MULAW,,,64k,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
MULAW-AAC,ex01_default_essentials_00034.wav,MULAW,,AAC,,,64k,,,,,,48k,,
ALAW-AAC,ex01_default_00160.wav,ALAW,,AAC,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,48k,,
ALAW-OPUS,ex01_default_00111.wav,ALAW,,OPUS,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",32k,,,
MP3-ALAW,ex01_default_00100.wav,MP3,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,,,,,24k,
OPUS-AAC,ex02_default_00023.wav,OPUS,,AAC,,,,,96k,,,,64k,,
MULAW-MP3,ex01_default_00226.wav,MULAW,,MP3,,,64k,,,,,,,,40k
MULAW-GSM,ex01_default_emphasis_00111.wav,MULAW,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,,,,,
GSM-AAC,ex01_default_00198.wav,GSM,,AAC,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",,80k,,
AAC-GSM,ex01_default_emphasis_00023.wav,AAC,96k,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
AAC-ALAW,ex01_default_emphasis_00078.wav,AAC,40k,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,,,,,,
OPUS-GSM,ex01_default_00252.wav,OPUS,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,64k,,,,,,
MP3-GSM,ex01_default_00033.wav,MP3,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,48k,
AAC-MP3,ex01_default_00360.wav,AAC,40k,MP3,,,,,,,,,,,32k
OPUS-MP3,ex01_default_emphasis_00071.wav,OPUS,,MP3,,,,,24k,,,,,,24k
MP3-OPUS,ex01_default_essentials_00033.wav,MP3,,OPUS,,,,,,,,96k,,40k,
MULAW-OPUS,ex01_default_emphasis_00015.wav,MULAW,,OPUS,,,64k,,,,,5k,,,
OPUS-GSM,ex01_default_00139.wav,OPUS,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,5k,,,,,,
OPUS-AAC,ex01_default_emphasis_00183.wav,OPUS,,AAC,,,,,8k,,,,40k,,
GSM-ALAW,ex01_default_emphasis_00082.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,
OPUS-AAC,ex02_default_00033.wav,OPUS,,AAC,,,,,24k,,,,56k,,
MP3-ALAW,ex01_default_emphasis_00081.wav,MP3,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,,,,,96k,
OPUS-AAC,ex01_default_00339.wav,OPUS,,AAC,,,,,5k,,,,40k,,
OPUS-MULAW,ex01_default_emphasis_00059.wav,OPUS,,MULAW,,,,64k,16k,,,,,,
MP3-GSM,ex01_default_00319.wav,MP3,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,80k,
OPUS-AAC,ex01_default_emphasis_00079.wav,OPUS,,AAC,,,,,96k,,,,64k,,
GSM-OPUS,ex01_default_00081.wav,GSM,,OPUS,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",24k,,,
OPUS-AAC,ex01_default_00125.wav,OPUS,,AAC,,,,,16k,,,,40k,,
AAC-GSM,ex02_default_00015.wav,AAC,56k,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
AAC-MP3,ex01_default_00248.wav,AAC,56k,MP3,,,,,,,,,,,64k
MP3-MULAW,ex01_default_00313.wav,MP3,,MULAW,,,,64k,,,,,,8k,
ALAW-AAC,ex01_default_emphasis_00054.wav,ALAW,,AAC,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,64k,,
MP3-OPUS,ex01_default_00063.wav,MP3,,OPUS,,,,,,,,8k,,24k,
AAC-MP3,ex01_default_00321.wav,AAC,96k,MP3,,,,,,,,,,,8k
AAC-GSM,ex01_default_emphasis_00024.wav,AAC,32k,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
ALAW-MP3,ex01_default_00262.wav,ALAW,,MP3,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,32k
MP3-AAC,ex01_default_emphasis_00165.wav,MP3,,AAC,,,,,,,,,96k,8k,
ALAW-MULAW,ex01_default_00351.wav,ALAW,,MULAW,,,64k,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
GSM-MP3,ex01_default_00355.wav,GSM,,MP3,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,64k
MP3-AAC,ex01_default_00379.wav,MP3,,AAC,,,,,,,,,48k,32k,
AAC-GSM,ex01_default_00181.wav,AAC,32k,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
MULAW-MP3,ex01_default_00012.wav,MULAW,,MP3,,,64k,,,,,,,,80k
MULAW-MP3,ex01_default_00352.wav,MULAW,,MP3,,,64k,,,,,,,,24k
AAC-MP3,ex01_default_00099.wav,AAC,64k,MP3,,,,,,,,,,,80k
MULAW-GSM,ex01_default_00348.wav,MULAW,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,,,,,
ALAW-MP3,ex01_default_emphasis_00083.wav,ALAW,,MP3,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,48k
AAC-MULAW,ex01_default_00157.wav,AAC,40k,MULAW,,,,64k,,,,,,,
ALAW-MULAW,ex01_default_emphasis_00065.wav,ALAW,,MULAW,,,64k,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
MP3-ALAW,ex01_default_emphasis_00029.wav,MP3,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,,,,,32k,
OPUS-MULAW,ex01_default_00308.wav,OPUS,,MULAW,,,,64k,5k,,,,,,
GSM-ALAW,ex01_default_emphasis_00162.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,
AAC-OPUS,ex01_default_00268.wav,AAC,80k,OPUS,,,,,,,,5k,,,
ALAW-MULAW,ex01_default_essentials_00028.wav,ALAW,,MULAW,,,64k,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
GSM-OPUS,ex01_default_00244.wav,GSM,,OPUS,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",8k,,,
ALAW-MP3,ex01_default_00357.wav,ALAW,,MP3,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,80k
OPUS-AAC,ex01_default_emphasis_00098.wav,OPUS,,AAC,,,,,64k,,,,64k,,
OPUS-MP3,ex02_default_00031.wav,OPUS,,MP3,,,,,32k,,,,,,64k
AAC-ALAW,ex01_default_00193.wav,AAC,32k,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,,,,,,
MULAW-OPUS,ex01_default_00349.wav,MULAW,,OPUS,,,64k,,,,,64k,,,
AAC-GSM,ex01_default_emphasis_00086.wav,AAC,80k,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
AAC-GSM,ex01_default_emphasis_00092.wav,AAC,80k,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
ALAW-GSM,ex01_default_00217.wav,ALAW,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,
ALAW-GSM,ex01_default_00380.wav,ALAW,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,
GSM-AAC,ex01_default_00003.wav,GSM,,AAC,,,,,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,32k,,
MULAW-OPUS,ex01_default_emphasis_00186.wav,MULAW,,OPUS,,,64k,,,,,24k,,,
MULAW-MP3,ex01_default_emphasis_00062.wav,MULAW,,MP3,,,64k,,,,,,,,8k
GSM-MP3,ex01_default_00334.wav,GSM,,MP3,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,24k
AAC-OPUS,ex01_default_00146.wav,AAC,80k,OPUS,,,,,,,,96k,,,
MP3-OPUS,ex02_default_00029.wav,MP3,,OPUS,,,,,,,,64k,,16k,
MULAW-OPUS,ex01_default_emphasis_00034.wav,MULAW,,OPUS,,,64k,,,,,5k,,,
ALAW-OPUS,ex01_default_00035.wav,ALAW,,OPUS,,,64k,,,,"{'cutoff_freq': 20, 'order': 2}",96k,,,
MP3-OPUS,ex01_default_00204.wav,MP3,,OPUS,,,,,,,,96k,,32k,
OPUS-GSM,ex01_default_00048.wav,OPUS,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,8k,,,,,,
GSM-AAC,ex01_default_00288.wav,GSM,,AAC,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",,56k,,
MP3-MULAW,ex01_default_00304.wav,MP3,,MULAW,,,,64k,,,,,,40k,
MP3-GSM,ex01_default_00116.wav,MP3,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,24k,
GSM-MP3,ex01_default_00291.wav,GSM,,MP3,,,,,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,8k
OPUS-MP3,ex01_default_00101.wav,OPUS,,MP3,,,,,24k,,,,,,8k
MULAW-MP3,ex02_default_00021.wav,MULAW,,MP3,,,64k,,,,,,,,40k
